               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,             0.01766,           0.0037741,           0.0010234,             0.99851,             0.99947,             0.99496,             0.79203,            0.017049,           0.0026234,          0.00032847,           0.0042969,           0.0042969,           0.0042969
                 130,            0.017758,           0.0037314,          0.00089162,             0.99858,             0.99947,             0.99495,             0.79203,            0.017038,           0.0026245,          0.00032833,           0.0042402,           0.0042402,           0.0042402
                 131,            0.017789,           0.0037608,           0.0010684,             0.99855,             0.99947,             0.99494,             0.79224,            0.017002,           0.0026222,           0.0003294,            0.004184,            0.004184,            0.004184
                 132,            0.017636,           0.0037645,          0.00099333,              0.9986,             0.99947,             0.99494,              0.7915,            0.016994,           0.0026216,          0.00032632,           0.0041283,           0.0041283,           0.0041283
                 133,            0.017478,           0.0037405,           0.0010378,             0.99872,             0.99947,             0.99494,               0.792,            0.016958,           0.0026189,          0.00032709,            0.004073,            0.004073,            0.004073
                 134,            0.017423,           0.0038359,           0.0010077,             0.99865,             0.99947,             0.99495,             0.79171,            0.016971,            0.002615,          0.00032155,           0.0040182,           0.0040182,           0.0040182
                 135,            0.017653,           0.0037509,          0.00098452,             0.99873,             0.99947,             0.99495,             0.79214,            0.016972,           0.0026174,          0.00032094,           0.0039638,           0.0039638,           0.0039638
                 136,            0.017341,           0.0036976,          0.00098091,             0.99874,             0.99947,             0.99495,             0.79291,            0.016968,           0.0026214,          0.00032092,             0.00391,             0.00391,             0.00391
                 137,            0.017291,           0.0036734,            0.000901,              0.9987,             0.99947,             0.99495,             0.79152,            0.016964,           0.0026217,          0.00032569,           0.0038567,           0.0038567,           0.0038567
                 138,            0.017531,           0.0036766,           0.0011215,             0.99867,             0.99947,             0.99495,             0.79372,            0.016975,           0.0026223,          0.00032751,           0.0038039,           0.0038039,           0.0038039
                 139,            0.017217,           0.0037713,          0.00098208,             0.99872,             0.99947,             0.99495,             0.79525,            0.016997,           0.0026229,          0.00032042,           0.0037517,           0.0037517,           0.0037517
                 140,            0.017278,           0.0037342,          0.00099425,             0.99876,             0.99947,             0.99495,             0.79417,            0.016996,           0.0026187,          0.00031767,              0.0037,              0.0037,              0.0037
                 141,            0.017174,           0.0036827,          0.00094796,             0.99868,             0.99947,             0.99495,             0.79405,            0.016983,           0.0026181,          0.00031715,           0.0036489,           0.0036489,           0.0036489
                 142,            0.017203,           0.0036264,           0.0009635,             0.99875,             0.99947,             0.99495,             0.79355,            0.016994,           0.0026207,          0.00031521,           0.0035983,           0.0035983,           0.0035983
                 143,            0.017292,           0.0036891,           0.0011808,             0.99868,             0.99947,             0.99495,             0.79332,            0.016997,           0.0026201,          0.00031477,           0.0035484,           0.0035484,           0.0035484
                 144,            0.017275,           0.0036711,           0.0010356,             0.99868,             0.99947,             0.99496,             0.79354,            0.016983,           0.0026182,           0.0003117,            0.003499,            0.003499,            0.003499
                 145,            0.017109,           0.0036599,          0.00088714,              0.9987,             0.99947,             0.99497,             0.79282,            0.016975,           0.0026183,          0.00030706,           0.0034503,           0.0034503,           0.0034503
                 146,            0.017186,           0.0036973,           0.0010194,             0.99862,             0.99947,             0.99497,             0.79283,            0.016987,           0.0026173,          0.00030584,           0.0034022,           0.0034022,           0.0034022
                 147,             0.01708,           0.0036931,           0.0008795,             0.99858,             0.99947,             0.99497,             0.79307,            0.016983,           0.0026175,          0.00030254,           0.0033548,           0.0033548,           0.0033548
                 148,            0.016965,           0.0036748,          0.00085073,             0.99865,             0.99947,             0.99497,             0.79152,            0.016988,           0.0026188,          0.00029909,           0.0033079,           0.0033079,           0.0033079
                 149,            0.017112,           0.0035794,           0.0010611,             0.99866,             0.99947,             0.99497,             0.79302,            0.016994,           0.0026191,           0.0002976,           0.0032618,           0.0032618,           0.0032618
                 150,            0.017139,           0.0036186,          0.00089839,             0.99867,             0.99947,             0.99497,             0.79234,            0.017008,           0.0026193,          0.00029569,           0.0032163,           0.0032163,           0.0032163
                 151,             0.01695,           0.0036989,          0.00093007,             0.99862,             0.99947,             0.99497,             0.79171,            0.017005,           0.0026172,          0.00029432,           0.0031716,           0.0031716,           0.0031716
                 152,            0.016834,            0.003638,           0.0010347,             0.99861,             0.99947,             0.99497,             0.79309,            0.017006,           0.0026178,          0.00029337,           0.0031275,           0.0031275,           0.0031275
